genre,median_roi,count
Western,-0.6091739142857143,19
War,-0.19809616666666666,101
Reality-TV,-0.18480000000000002,2
History,0.0,253
Sport,0.13222153333333334,128
Crime,0.2451331109669046,1146
Drama,0.34187399444444444,3448
Biography,0.3430491666666667,439
Musical,0.44032872614619056,88
Mystery,0.4942298976190476,666
Music,0.5727497500000001,184
Thriller,0.6323312857142858,1031
Fantasy,0.6329828333333334,468
Action,0.7085219492857142,1774
Documentary,0.75,139
Romance,0.7515122448979592,1019
Sci-Fi,0.8566044108108108,393
Comedy,0.8622252307666329,2418
Family,0.9172374166666667,391
Animation,0.956232796875,413
Horror,1.0,692
Adventure,1.0504503416666666,1260
News,4.982231211686671,2
